dateToChange1;dateToChange2;54034;FDHSTCYR;C09W;016877;15.99;;ST CYR;9.41;Kg;821;CREMTRANS;92896;20;23.54;FR;20181227;54034;44
dateToChange1;dateToChange2;53996;FDHSTCYR;C0GI;019614;14.99;;ST CYR;12.05;Kg;821;CREMTRANS;92837;76;127.46;FR;20181227;53996;6
dateToChange1;dateToChange2;54001;FDHSTCYR;C08O;016669;7.90;;ST CYR;5.15;Kg;821;CREMTRANS;92830;80;88.99;FR;20181227;54001;13
dateToChange1;dateToChange2;54038;FDHSTCYR;C0GP;019679;22.90;;ST CYR;13.40;Kg;821;CREMTRANS;93008;32;26.78;FR;20181227;54038;29
dateToChange1;dateToChange2;54056;FDHSTCYR;C0GQ;019754;14.90;;ST CYR;10.04;Kg;821;CREMTRANS;93007;32;33.53;FR;20181227;54056;30
dateToChange1;dateToChange2;54039;FDHSTCYR;C325;020831;13.99;;ST CYR;8.04;Kg;821;CREMTRANS;93005;44;48.26;FR;20181227;54039;32
dateToChange1;dateToChange2;54041;FDHSTCYR;C333;008424;3.69;;ST CYR;2.07;Unité;821;CREMTRANS;92753;52;37.24;FR;20181227;54041;90
dateToChange1;dateToChange2;54040;FDHSTCYR;C334;008425;2.19;;ST CYR;1.14;Unité;821;CREMTRANS;92733;48;15.36;FR;20181227;54040;13
dateToChange1;dateToChange2;53996;FDHSTCYR;C0GI;019614;14.99;;ST CYR;12.05;Kg;821;CREMTRANS;92742;128;215.28;FR;20181227;53996;4
dateToChange1;dateToChange2;54016;FDHSTCYR;C329;008414;15.49;;ST CYR;9.00;Kg;821;CREMTRANS;92755;68;87.43;FR;20181227;54016;88
dateToChange1;dateToChange2;54015;FDHSTCYR;C369;008410;15.49;;ST CYR;9.33;Kg;821;CREMTRANS;92774;41;39.15;FR;20181227;54015;69
dateToChange1;dateToChange2;54044;FDHSTCYR;C08M;016411;5.79;;ST CYR;3.69;Unité;821;CREMTRANS;92790;40;40.00;FR;20181227;54044;53
dateToChange1;dateToChange2;54045;FDHSTCYR;C326;008405;20.10;;ST CYR;11.55;Kg;821;CREMTRANS;92770;69;50.74;FR;20181227;54045;73
dateToChange1;dateToChange2;54018;FDHSTCYR;C08N;016989;16.90;;ST CYR;11.30;Kg;821;CREMTRANS;92805;120;135.02;FR;20181227;54018;38
dateToChange1;dateToChange2;54048;FDHSTCYR;C08A;019762;17.79;;ST CYR;10.98;Kg;821;CREMTRANS;92800;100;79.20;FR;20181227;54048;43
dateToChange1;dateToChange2;53999;FDHSTCYR;C0CK;017490;10.90;;ST CYR;6.65;Kg;821;CREMTRANS;92754;76;81.34;FR;20181227;53999;89
dateToChange1;dateToChange2;54042;FDHSTCYR;C01S;019615;17.79;;ST CYR;10.83;Kg;821;CREMTRANS;93021;12;9.94;FR;20181227;54042;16
dateToChange1;dateToChange2;53997;FDHSTCYR;C0GJ;019129;2.99;;ST CYR;2.47;Unité;821;CREMTRANS;92847;96;230.40;FR;20181227;53997;93
